pkl_path,model_name,world,seed,N,T,T_full,runtime_sec,ari_train,ari_holdout,gamma_diag_mae,alpha_h_mae,beta_m_mae,gamma_m_rec,gamma_m_mae,theta_corr,r_mae,rho_rec,rho_mae,ess_theta,ess_alpha_h,ess_beta_m,ess_Gamma,ess_pi0,ess_gamma_m,ess_r_nb,rhat_max,waic,ess_rho,ess_u,ess_v
overnight_28may/correlated/rep0/fit_BEMMAOR-global-rfree_correlated_N200_T52_seed4000.pkl,BEMMAOR-global-rfree,correlated,4000,200,52,92,5630.4,0.25998259396186885,0.26407611250380103,0.09232209285221789,0.784791420537227,1.1271540090590155,2.407294547090948,0.703647273545474,,0.5998891689966663,,,1098.8571197203494,298.67270743119246,6.248751206538439,1153.4519236181497,1756.674694890082,699.126434783656,1214.8025779684076,1.7349666215466948,,,,
overnight_28may/correlated/rep0/fit_BEMMAOR-indiv-rfree_correlated_N200_T52_seed4000.pkl,BEMMAOR-indiv-rfree,correlated,4000,200,52,92,818.9,0.36755479060070617,0.3778361900964673,0.06359997897924168,0.08521913308139568,0.12703473612329294,1.13990954134956,0.06995477067477995,0.9265990007312056,0.41113587685112196,,,811.1206726090347,5.293544927432173,6.25433846809901,1613.0225568064877,2558.6115629122746,717.20740413353,788.2243055960712,2.1097739362465924,,,,
overnight_28may/correlated/rep0/fit_Heckman-global-rfree_correlated_N200_T52_seed4000.pkl,Heckman-global-rfree,correlated,4000,200,52,92,534.8,0.2646807909569164,0.2719930147426587,0.09206534538322708,0.2547697734784446,0.4018722659168134,,,,1.0104816305539475,0.006545079296451208,0.39738196828141953,,6.1180800021292825,5.339148266652299,1148.5205312768412,1835.6183914554565,,2045.4039248528923,2.106942281496613,,2002.988993568411,,
overnight_28may/correlated/rep0/fit_Hurdle-rfree_correlated_N200_T52_seed4000.pkl,Hurdle-rfree,correlated,4000,200,52,92,856.3,0.2882560067131098,0.2946979335022878,0.06518957416636735,0.16335289134505113,0.16123543752151978,,,,0.6245734501757542,,,,5.466280372212062,5.248905808951578,1061.6271824087733,1596.6361373173083,,87.2388934365027,2.1642143698369107,,,162.48348415015263,595.196624026095
overnight_28may/correlated/rep0/fit_heckman-indiv-rfree_correlated_N200_T52_seed4000.pkl,heckman-indiv-rfree,correlated,4000,200,52,92,1233.2,0.2901881271756349,0.2952550812902342,0.06277639637180484,0.10459222167523195,0.13386788523822682,,,,1.0015128627533523,1.2362536291207271,0.09450145164829082,,5.312449687063193,5.3034360659941875,2163.0289623917597,2103.33446693033,,4193.352803853407,2.1161437356329547,,,,
overnight_28may/correlated/rep1/fit_BEMMAOR-global-rfree_correlated_N200_T52_seed4001.pkl,BEMMAOR-global-rfree,correlated,4001,200,52,92,4767.0,0.2742696304850334,0.2620198138487356,0.09144450798684982,0.7512599265735735,1.2104281884942296,2.406325914798431,0.7031629573992155,,0.4324043598034409,,,1225.8121319169654,250.2894650853372,6.217162149829076,1309.0641389861662,1810.6392140514795,1099.4352508761906,1161.0395346331545,1.737536623450047,,,,
overnight_28may/correlated/rep1/fit_BEMMAOR-indiv-rfree_correlated_N200_T52_seed4001.pkl,BEMMAOR-indiv-rfree,correlated,4001,200,52,92,573.2,0.3473486071242578,0.3506154341410714,0.09508850715163808,0.28659090828327943,0.2642533922425882,0.8907538545115827,0.054623072744208634,0.8831735390933366,0.8179267264667368,,,1753.7082395302448,6.195022975664561,6.207404974357212,1698.621719093128,2965.926213069006,689.8653496061035,895.125899226089,1.7458902255648079,,,,
overnight_28may/correlated/rep1/fit_Heckman-global-rfree_correlated_N200_T52_seed4001.pkl,Heckman-global-rfree,correlated,4001,200,52,92,563.5,0.2876292076551748,0.26968435051378736,0.09122355552253458,0.2942968874315101,0.42859882477009403,,,,0.9785031252989388,-0.0038380056354233,0.40153520225416933,,6.142450830413027,5.306924006747918,1363.5281692308336,1803.028302170598,,1920.054541084658,2.1037516859618104,,2291.4813622229744,,
overnight_28may/correlated/rep1/fit_Hurdle-rfree_correlated_N200_T52_seed4001.pkl,Hurdle-rfree,correlated,4001,200,52,92,686.9,0.30043330947870905,0.28985734613317454,0.08354882788629707,0.25531538628843137,0.2684087174672567,,,,0.9948255962918657,,,,6.162560348746354,5.343156517177574,929.6338949492546,1810.3379001469648,,98.19459789645894,2.107580565327569,,,204.08631661345675,254.39693751483387
overnight_28may/correlated/rep1/fit_heckman-indiv-rfree_correlated_N200_T52_seed4001.pkl,heckman-indiv-rfree,correlated,4001,200,52,92,547.6,0.3013861054348978,0.2913937076867469,0.08244596906358674,0.15975607672936865,0.25615401977942637,,,,1.0018296125906616,1.2337669491568188,0.09350677966272752,,4.939355500535833,5.300678988897084,1896.4494039415786,2703.627808842678,,3606.903408814482,2.418303930133717,,,,
